date_heure	date	heure	H_cumul	BAC	Ligne	C1	C2	C3	C4	C5	F1	F2	F3	F4	F5	CD1	CD2	CD3	CD4	CD5	T1	T2	T3	T4	T5	S1	S2	S3	S4	S5
21/1/22 17:00	21/01/2022	17:00	0	1	L1	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	T
21/1/22 17:00	21/01/2022	17:00	0	1	L2	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	T
21/1/22 17:00	21/01/2022	17:00	0	1	L3	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	T
21/1/22 17:00	21/01/2022	17:00	0	1	L4	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	T
21/1/22 17:00	21/01/2022	17:00	0	1	T	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	T
21/1/22 17:00	21/01/2022	17:00	0	2	L1	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	NA	AR	AR	AR
21/1/22 17:00	21/01/2022	17:00	0	2	L2	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR
21/1/22 17:00	21/01/2022	17:00	0	2	L3	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR
21/1/22 17:00	21/01/2022	17:00	0	2	L4	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR
21/1/22 17:00	21/01/2022	17:00	0	2	T	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR
22/1/22 12:00	22/01/2022	12:00	19	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	ST	OT	OT
22/1/22 12:00	22/01/2022	12:00	19	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	T
22/1/22 12:00	22/01/2022	12:00	19	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	T	ST	T	T
22/1/22 12:00	22/01/2022	12:00	19	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	ST
22/1/22 12:00	22/01/2022	12:00	19	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	ST	T
22/1/22 17:30	22/01/2022	17:30	24,5	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	ST	OT	OT
22/1/22 17:30	22/01/2022	17:30	24,5	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	OT	T	T	T
22/1/22 17:30	22/01/2022	17:30	24,5	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	T	ST	T	T
22/1/22 17:30	22/01/2022	17:30	24,5	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	T	T	ST
22/1/22 17:30	22/01/2022	17:30	24,5	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	OT	T	T	ST	T
23/1/22 10:00	23/01/2022	10:00	41	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	T	ST	ST	OT
23/1/22 10:00	23/01/2022	10:00	41	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	ST	T	AR	T
23/1/22 10:00	23/01/2022	10:00	41	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	OT	ST	AR	T
23/1/22 10:00	23/01/2022	10:00	41	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	OT	AR	OT
23/1/22 10:00	23/01/2022	10:00	41	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	T	ST	AR	OT
23/1/22 17:00	23/01/2022	17:00	48	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	T	AR	ST	ST
23/1/22 17:00	23/01/2022	17:00	48	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	ST	T	AR	T
23/1/22 17:00	23/01/2022	17:00	48	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	ST	ST	AR	T
23/1/22 17:00	23/01/2022	17:00	48	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	T	T	OT	AR	OT
23/1/22 17:00	23/01/2022	17:00	48	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ar	T	ST	AR	ST
24/1/22 14:00	24/01/2022	14:00	69	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ST	ST	AR
24/1/22 14:00	24/01/2022	14:00	69	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	AR	ANC	OC
24/1/22 14:00	24/01/2022	14:00	69	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	AR
24/1/22 14:00	24/01/2022	14:00	69	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	ST	OT	ANC	ST
24/1/22 14:00	24/01/2022	14:00	69	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	T	OT	AR	AR
24/1/22 17:00	24/01/2022	17:00	72	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	OT	OT	AR
24/1/22 17:00	24/01/2022	17:00	72	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	AR	ANC	AR
24/1/22 17:00	24/01/2022	17:00	72	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR
24/1/22 17:00	24/01/2022	17:00	72	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	OT	ANC	ST
24/1/22 17:00	24/01/2022	17:00	72	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	T	AR	AR	AR
25/1/22 10:00	25/01/2022	10:00	89	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	AR
25/1/22 10:00	25/01/2022	10:00	89	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR
25/1/22 10:00	25/01/2022	10:00	89	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR
25/1/22 10:00	25/01/2022	10:00	89	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	OT	ANC	ANC
25/1/22 10:00	25/01/2022	10:00	89	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	T	ANC	ANC	ANC
25/1/22 17:00	25/01/2022	17:00	96	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	AR
25/1/22 17:00	25/01/2022	17:00	96	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR
25/1/22 17:00	25/01/2022	17:00	96	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC
25/1/22 17:00	25/01/2022	17:00	96	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	OT	ANC	ANC
