date	H_cumul	Traitement	BAC	Ligne	C1	C2	C3	C4	C5	F1	F2	F3	F4	F5	CD1	CD2	CD3	CD4	CD5	T1	T2	T3	T4	T5	S1	S2	S3	S4	S5	I1	I2	I3	I4	I5
21/01/2022	0	IRD_012022	1	L1	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	TE	AS101	AS102	AS103	AS104	AS105
21/01/2022	0	IRD_012022	1	L2	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	TE	AS106	AS107	AS108	AS109	AS110
21/01/2022	0	IRD_012022	1	L3	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	TE	AS111	AS112	AS113	AS114	AS115
21/01/2022	0	IRD_012022	1	L4	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	TE	AS116	AS117	AS118	AS119	AS120
21/01/2022	0	IRD_012022	1	T	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	TE	AS141	AS142	AS143	AS144	AS145
21/01/2022	0	IRD_012022	2	L1	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	NA	AR	AR	AR	AS121	AS122	AS123	AS124	AS125
21/01/2022	0	IRD_012022	2	L2	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR	AS126	AS127	AS128	AS129	AS130
21/01/2022	0	IRD_012022	2	L3	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR	AS131	AS132	AS133	AS134	AS135
21/01/2022	0	IRD_012022	2	L4	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR	AS136	AS137	AS138	AS139	AS140
21/01/2022	0	IRD_012022	2	T	0	0	0	0	0	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	AR	AR	AR	AS146	AS147	AS148	AS149	AS150
22/01/2022	19	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	ST	OT	OT	AS101	AS102	AS103	AS104	AS105
22/01/2022	19	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	TE	AS106	AS107	AS108	AS109	AS110
22/01/2022	19	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	TE	ST	TE	TE	AS111	AS112	AS113	AS114	AS115
22/01/2022	19	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	ST	AS116	AS117	AS118	AS119	AS120
22/01/2022	19	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	ST	TE	AS141	AS142	AS143	AS144	AS145
22/01/2022	24	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	ST	OT	OT	AS121	AS122	AS123	AS124	AS125
22/01/2022	24	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	OT	TE	TE	TE	AS126	AS127	AS128	AS129	AS130
22/01/2022	24	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	TE	ST	TE	TE	AS131	AS132	AS133	AS134	AS135
22/01/2022	24	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	TE	TE	ST	AS136	AS137	AS138	AS139	AS140
22/01/2022	24	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	OT	TE	TE	ST	TE	AS146	AS147	AS148	AS149	AS150
23/01/2022	41	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	TE	ST	ST	OT	AS101	AS102	AS103	AS104	AS105
23/01/2022	41	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	ST	TE	AR	TE	AS106	AS107	AS108	AS109	AS110
23/01/2022	41	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	OT	ST	AR	TE	AS111	AS112	AS113	AS114	AS115
23/01/2022	41	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	OT	AR	OT	AS116	AS117	AS118	AS119	AS120
23/01/2022	41	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	TE	ST	AR	OT	AS141	AS142	AS143	AS144	AS145
23/01/2022	48	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	TE	AR	ST	ST	AS121	AS122	AS123	AS124	AS125
23/01/2022	48	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ST	ST	TE	AR	TE	AS126	AS127	AS128	AS129	AS130
23/01/2022	48	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	ST	ST	AR	TE	AS131	AS132	AS133	AS134	AS135
23/01/2022	48	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	TE	TE	OT	AR	OT	AS136	AS137	AS138	AS139	AS140
23/01/2022	48	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	TE	ST	AR	ST	AS146	AS147	AS148	AS149	AS150
24/01/2022	69	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ST	ST	AR	AS101	AS102	AS103	AS104	AS105
24/01/2022	69	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	AR	ANC	OC	AS106	AS107	AS108	AS109	AS110
24/01/2022	69	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	AR	AS111	AS112	AS113	AS114	AS115
24/01/2022	69	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	ST	OT	ANC	ST	AS116	AS117	AS118	AS119	AS120
24/01/2022	69	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	TE	OT	AR	AR	AS141	AS142	AS143	AS144	AS145
24/01/2022	72	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	OT	OT	AR	AS121	AS122	AS123	AS124	AS125
24/01/2022	72	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	AR	ANC	AR	AS126	AS127	AS128	AS129	AS130
24/01/2022	72	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR	AS131	AS132	AS133	AS134	AS135
24/01/2022	72	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	AR	OT	ANC	ST	AS136	AS137	AS138	AS139	AS140
24/01/2022	72	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	TE	AR	AR	AR	AS146	AS147	AS148	AS149	AS150
25/01/2022	89	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	AR	AS101	AS102	AS103	AS104	AS105
25/01/2022	89	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR	AS106	AS107	AS108	AS109	AS110
25/01/2022	89	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR	AS111	AS112	AS113	AS114	AS115
25/01/2022	89	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	OT	ANC	ANC	AS116	AS117	AS118	AS119	AS120
25/01/2022	89	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	TE	ANC	ANC	ANC	AS141	AS142	AS143	AS144	AS145
25/01/2022	96	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	AR	ANC	ANC	AR	AS121	AS122	AS123	AS124	AS125
25/01/2022	96	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR	AS126	AS127	AS128	AS129	AS130
25/01/2022	96	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS131	AS132	AS133	AS134	AS135
25/01/2022	96	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	OT	ANC	ANC	AS136	AS137	AS138	AS139	AS140
25/01/2022	96	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	AR	TE	ANC	ANC	ANC	AS146	AS147	AS148	AS149	AS150
26/01/2022	118	IRD_012022	1	L1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS101	AS102	AS103	AS104	AS105
26/01/2022	118	IRD_012022	1	L2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	AR	AS106	AS107	AS108	AS109	AS110
26/01/2022	118	IRD_012022	1	L3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ANC	ANC	ANC	AS111	AS112	AS113	AS114	AS115
26/01/2022	118	IRD_012022	1	L4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	ANC	ST	ANC	ANC	AS116	AS117	AS118	AS119	AS120
26/01/2022	118	IRD_012022	1	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	NA	NA	NA	NA	NA	ANC	TE	ANC	ANC	ANC	AS141	AS142	AS143	AS144	AS145
