"H_cumul"	"Traitement"	"BAC"	"Individu"	"Ligne"	"variable"	"hauteur"	"nb_feuille"	"Nb_cotyledon"	"Nb_Tige"	"Developpement"	"Jour"
"1"	0	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	0	NA	2	NA	"TE"	0
"2"	0	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	0	NA	2	NA	"TE"	0
"3"	0	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	0	NA	2	NA	"TE"	0
"4"	0	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	0	NA	2	NA	"TE"	0
"5"	0	"IRD_012022"	"1"	"AS141"	"T"	"C1"	0	NA	2	NA	"TE"	0
"6"	0	"IRD_012022"	"2"	"AS121"	"L1"	"C1"	0	NA	2	NA	"AR"	0
"7"	0	"IRD_012022"	"2"	"AS126"	"L2"	"C1"	0	NA	2	NA	"AR"	0
"8"	0	"IRD_012022"	"2"	"AS131"	"L3"	"C1"	0	NA	2	NA	"AR"	0
"9"	0	"IRD_012022"	"2"	"AS136"	"L4"	"C1"	0	NA	2	NA	"AR"	0
"10"	0	"IRD_012022"	"2"	"AS146"	"T"	"C1"	0	NA	2	NA	"AR"	0
"11"	19	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"TE"	1
"12"	19	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"TE"	1
"13"	19	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ST"	1
"14"	19	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"TE"	1
"15"	19	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"TE"	1
"16"	24	"IRD_012022"	"1"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"TE"	1
"17"	24	"IRD_012022"	"1"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"TE"	1
"18"	24	"IRD_012022"	"1"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ST"	1
"19"	24	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"TE"	1
"20"	24	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"OT"	1
"21"	41	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ST"	2
"22"	41	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ST"	2
"23"	41	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"AR"	2
"24"	41	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"TE"	2
"25"	41	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"AR"	2
"26"	48	"IRD_012022"	"1"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ST"	2
"27"	48	"IRD_012022"	"1"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ST"	2
"28"	48	"IRD_012022"	"1"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"AR"	2
"29"	48	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"TE"	2
"30"	48	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"AR"	2
"31"	69	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	3
"32"	69	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	3
"33"	69	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ANC"	3
"34"	69	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"AR"	3
"35"	69	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"AR"	3
"36"	72	"IRD_012022"	"1"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"AR"	3
"37"	72	"IRD_012022"	"1"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	3
"38"	72	"IRD_012022"	"1"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	3
"39"	72	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"AR"	3
"40"	72	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"AR"	3
"41"	89	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	4
"42"	89	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	4
"43"	89	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ANC"	4
"44"	89	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	4
"45"	89	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"AR"	4
"46"	96	"IRD_012022"	"1"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	4
"47"	96	"IRD_012022"	"1"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	4
"48"	96	"IRD_012022"	"1"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	4
"49"	96	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	4
"50"	96	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"AR"	4
"51"	118	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	5
"52"	118	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	5
"53"	118	"IRD_012022"	"1"	"AS111"	"L3"	"C1"	NA	NA	2	NA	"ANC"	5
"54"	118	"IRD_012022"	"1"	"AS116"	"L4"	"C1"	NA	NA	2	NA	"ANC"	5
"55"	118	"IRD_012022"	"1"	"AS141"	"T"	"C1"	NA	NA	2	NA	"ANC"	5
"56"	142	"IRD_012022"	"1"	"AS121"	"L1"	"C1"	NA	NA	2	NA	"ANC"	6
"57"	142	"IRD_012022"	"1"	"AS126"	"L2"	"C1"	NA	NA	2	NA	"ANC"	6
"58"	142	"IRD_012022"	"1"	"AS131"	"L3"	"C1"	NA	NA	2	NA	"ANC"	6
"59"	142	"IRD_012022"	"1"	"AS136"	"L4"	"C1"	NA	NA	2	NA	"ANC"	6
"60"	142	"IRD_012022"	"1"	"AS146"	"T"	"C1"	NA	NA	2	NA	"ANC"	6
"61"	168	"IRD_012022"	"1"	"AS101"	"L1"	"C1"	NA	NA	2	NA	"ANC"	7
"62"	168	"IRD_012022"	"1"	"AS106"	"L2"	"C1"	NA	NA	2	NA	"ANC"	7
